feature_id,ablation_zero,patching,steering
L10_F126287,20,20,20
L10_F154631,20,20,20
L10_F159221,20,20,20
L11_F1564,20,20,20
L11_F2848,0,20,20
L12_F1302,20,20,20
L12_F146578,20,20,20
L12_F43835,20,20,20
L13_F12706,20,20,20
L13_F3203,20,20,20
L13_F50574,20,20,20
L14_F114887,0,20,20
L14_F34380,0,20,20
L14_F57525,20,20,20
L15_F111371,0,15,20
L15_F126720,0,17,0
L15_F127839,20,15,0
L15_F135551,20,15,20
L15_F144842,0,13,20
L15_F27553,0,8,20
L15_F32893,20,17,20
L16_F33604,20,20,20
L17_F111317,0,20,20
L17_F151157,0,20,20
L17_F44675,0,20,20
L17_F65581,20,20,20
L18_F109919,20,20,20
L18_F152973,20,20,20
L19_F103010,20,19,20
L19_F11545,0,20,20
L19_F135661,20,2,20
L19_F141119,0,20,20
L19_F44984,0,20,20
L19_F68247,20,19,0
L20_F146302,20,20,20
L20_F26284,20,20,20
L20_F58760,20,13,20
L20_F68236,0,15,0
L20_F78322,0,12,20
L20_F99485,20,20,20
L21_F116961,0,20,20
L21_F121105,0,20,20
L21_F98305,20,20,20
L22_F120804,0,17,0
L22_F14991,0,10,20
L22_F34051,20,18,20
L22_F57015,20,20,20
L22_F66669,20,15,0
L22_F74868,20,10,20
L22_F80156,0,10,20
L23_F119593,0,20,20
L23_F130333,0,20,20
L23_F91721,20,20,20
L24_F122537,20,20,20
L24_F149159,0,20,20
L24_F161672,20,20,20
L24_F30233,20,20,20
L24_F73324,0,20,20
L25_F133941,0,20,20
L25_F143309,0,20,20
L25_F37637,20,20,20
