layer,n_en_features,n_fr_features,n_intersection,n_union,iou
10,944,1306,494,1756,0.2813
11,865,1115,452,1528,0.2958
12,810,1036,452,1394,0.3242
13,889,1120,510,1499,0.3402
14,915,1076,533,1458,0.3656
15,1005,1115,560,1560,0.359
16,468,497,253,712,0.3553
17,972,1091,567,1496,0.379
18,836,945,471,1310,0.3595
19,832,859,474,1217,0.3895
20,1101,1092,606,1587,0.3819
21,1022,1140,572,1590,0.3597
22,937,1074,517,1494,0.3461
23,948,1019,472,1495,0.3157
24,876,936,404,1408,0.2869
25,949,1082,440,1591,0.2766
