,L24_F35447,L19_F27199,L23_F40170,L25_F54011,L22_F54937,L14_F97679,L22_F32734,L19_F130826,L25_F43384,L23_F95530,L22_F78043,L18_F124002,L24_F30233,L18_F149556,L22_F128994,L24_F106340,L18_F27853,L20_F89742,L23_F6889,L21_F54492
L24_F35447,0.0,0.6304347826086957,0.8024691358024691,0.651685393258427,0.0,0.4444444444444444,0.4024390243902439,0.0,1.0,0.275,0.8602150537634409,0.5274725274725275,0.8333333333333334,0.8588235294117647,0.782608695652174,0.6941176470588235,0.7916666666666666,0.9875,0.9875,0.7349397590361446
L19_F27199,0.6304347826086957,0.0,0.5454545454545454,0.4891304347826087,0.16666666666666666,0.6216216216216216,0.4,0.16901408450704225,0.6304347826086957,0.05747126436781609,0.7157894736842105,0.6753246753246753,0.7291666666666666,0.6444444444444445,0.75,0.7866666666666666,0.723404255319149,0.6373626373626373,0.6373626373626373,0.7866666666666666
L23_F40170,0.8024691358024691,0.5454545454545454,0.0,0.5465116279069767,0.012658227848101266,0.43209876543209874,0.23170731707317074,0.01282051282051282,0.8024691358024691,0.31343283582089554,0.7096774193548387,0.47058823529411764,0.6875,0.7349397590361446,0.6853932584269663,0.5476190476190477,0.6808510638297872,0.8125,0.8125,0.5853658536585366
L25_F54011,0.651685393258427,0.4891304347826087,0.5465116279069767,0.0,0.1095890410958904,0.4268292682926829,0.34210526315789475,0.0958904109589041,0.651685393258427,0.2898550724637681,0.7204301075268817,0.46511627906976744,0.6979166666666666,0.6666666666666666,0.5894736842105263,0.48863636363636365,0.65625,0.6404494382022472,0.6404494382022472,0.5057471264367817
L22_F54937,0.0,0.16666666666666666,0.012658227848101266,0.1095890410958904,0.0,0.14285714285714285,0.0,0.9285714285714286,0.0,0.0,0.12631578947368421,0.140625,0.14583333333333334,0.05747126436781609,0.13953488372093023,0.04,0.15217391304347827,0.0,0.0,0.012987012987012988
L14_F97679,0.4444444444444444,0.6216216216216216,0.43209876543209874,0.4268292682926829,0.14285714285714285,0.0,0.328125,0.14545454545454545,0.4444444444444444,0.058823529411764705,0.5212765957446809,0.6515151515151515,0.5208333333333334,0.4222222222222222,0.4725274725274725,0.5833333333333334,0.5268817204301075,0.43333333333333335,0.43333333333333335,0.6056338028169014
L22_F32734,0.4024390243902439,0.4,0.23170731707317074,0.34210526315789475,0.0,0.328125,0.0,0.0,0.4024390243902439,0.0,0.3617021276595745,0.40298507462686567,0.3645833333333333,0.2988505747126437,0.32222222222222224,0.5230769230769231,0.3368421052631579,0.3902439024390244,0.3902439024390244,0.546875
L19_F130826,0.0,0.16901408450704225,0.01282051282051282,0.0958904109589041,0.9285714285714286,0.14545454545454545,0.0,0.0,0.0,0.0,0.11578947368421053,0.14285714285714285,0.13541666666666666,0.05813953488372093,0.1411764705882353,0.04054054054054054,0.14130434782608695,0.0,0.0,0.013157894736842105
L25_F43384,1.0,0.6304347826086957,0.8024691358024691,0.651685393258427,0.0,0.4444444444444444,0.4024390243902439,0.0,0.0,0.275,0.8602150537634409,0.5274725274725275,0.8333333333333334,0.8588235294117647,0.782608695652174,0.6941176470588235,0.7916666666666666,0.9875,0.9875,0.7349397590361446
L23_F95530,0.275,0.05747126436781609,0.31343283582089554,0.2898550724637681,0.0,0.058823529411764705,0.0,0.0,0.275,0.0,0.23655913978494625,0.08,0.22916666666666666,0.28205128205128205,0.20454545454545456,0.04878048780487805,0.22580645161290322,0.27848101265822783,0.27848101265822783,0.06172839506172839
L22_F78043,0.8602150537634409,0.7157894736842105,0.7096774193548387,0.7204301075268817,0.12631578947368421,0.5212765957446809,0.3617021276595745,0.11578947368421053,0.8602150537634409,0.23655913978494625,0.0,0.6,0.96875,0.8387096774193549,0.8631578947368421,0.6702127659574468,0.9270833333333334,0.8494623655913979,0.8494623655913979,0.6702127659574468
L18_F124002,0.5274725274725275,0.6753246753246753,0.47058823529411764,0.46511627906976744,0.140625,0.6515151515151515,0.40298507462686567,0.14285714285714285,0.5274725274725275,0.08,0.6,0.0,0.6145833333333334,0.5222222222222223,0.5543478260869565,0.618421052631579,0.6236559139784946,0.5164835164835165,0.5164835164835165,0.64
L24_F30233,0.8333333333333334,0.7291666666666666,0.6875,0.6979166666666666,0.14583333333333334,0.5208333333333334,0.3645833333333333,0.13541666666666666,0.8333333333333334,0.22916666666666666,0.96875,0.6145833333333334,0.0,0.8125,0.875,0.6666666666666666,0.9583333333333334,0.8229166666666666,0.8229166666666666,0.6666666666666666
L18_F149556,0.8588235294117647,0.6444444444444445,0.7349397590361446,0.6666666666666666,0.05747126436781609,0.4222222222222222,0.2988505747126437,0.05813953488372093,0.8588235294117647,0.28205128205128205,0.8387096774193549,0.5222222222222223,0.8125,0.0,0.8202247191011236,0.6136363636363636,0.7894736842105263,0.8690476190476191,0.8690476190476191,0.632183908045977
L22_F128994,0.782608695652174,0.75,0.6853932584269663,0.5894736842105263,0.13953488372093023,0.4725274725274725,0.32222222222222224,0.1411764705882353,0.782608695652174,0.20454545454545456,0.8631578947368421,0.5543478260869565,0.875,0.8202247191011236,0.0,0.6263736263736264,0.8526315789473684,0.7912087912087912,0.7912087912087912,0.6086956521739131
L24_F106340,0.6941176470588235,0.7866666666666666,0.5476190476190477,0.48863636363636365,0.04,0.5833333333333334,0.5230769230769231,0.04054054054054054,0.6941176470588235,0.04878048780487805,0.6702127659574468,0.618421052631579,0.6666666666666666,0.6136363636363636,0.6263736263736264,0.0,0.6421052631578947,0.6823529411764706,0.6823529411764706,0.9104477611940298
L18_F27853,0.7916666666666666,0.723404255319149,0.6808510638297872,0.65625,0.15217391304347827,0.5268817204301075,0.3368421052631579,0.14130434782608695,0.7916666666666666,0.22580645161290322,0.9270833333333334,0.6236559139784946,0.9583333333333334,0.7894736842105263,0.8526315789473684,0.6421052631578947,0.0,0.78125,0.78125,0.6421052631578947
L20_F89742,0.9875,0.6373626373626373,0.8125,0.6404494382022472,0.0,0.43333333333333335,0.3902439024390244,0.0,0.9875,0.27848101265822783,0.8494623655913979,0.5164835164835165,0.8229166666666666,0.8690476190476191,0.7912087912087912,0.6823529411764706,0.78125,0.0,1.0,0.7228915662650602
L23_F6889,0.9875,0.6373626373626373,0.8125,0.6404494382022472,0.0,0.43333333333333335,0.3902439024390244,0.0,0.9875,0.27848101265822783,0.8494623655913979,0.5164835164835165,0.8229166666666666,0.8690476190476191,0.7912087912087912,0.6823529411764706,0.78125,1.0,0.0,0.7228915662650602
L21_F54492,0.7349397590361446,0.7866666666666666,0.5853658536585366,0.5057471264367817,0.012987012987012988,0.6056338028169014,0.546875,0.013157894736842105,0.7349397590361446,0.06172839506172839,0.6702127659574468,0.64,0.6666666666666666,0.632183908045977,0.6086956521739131,0.9104477611940298,0.6421052631578947,0.7228915662650602,0.7228915662650602,0.0
