feature_id,layer,feature_idx,mean_abs_grad_attr,grad_attr_sign,community_vw,community_coact,community_causal
L24_F35447,24,35447,0.6813736660167192,-1,0,2,0
L19_F27199,19,27199,0.4482245000474381,-1,3,1,10
L23_F40170,23,40170,0.4275321050757362,-1,4,2,4
L25_F54011,25,54011,0.42473987851179007,1,1,2,0
L22_F54937,22,54937,0.3927351050078869,1,4,0,11
L14_F97679,14,97679,0.38706814621885616,-1,2,1,1
L22_F32734,22,32734,0.33965155773836636,-1,4,1,4
L19_F130826,19,130826,0.3341814987361431,-1,3,0,2
L25_F43384,25,43384,0.3153413833389359,-1,0,2,0
L23_F95530,23,95530,0.3041041400283575,-1,4,2,4
L22_F78043,22,78043,0.30384564197489194,1,4,2,4
L18_F124002,18,124002,0.28889929300004785,1,3,1,3
L24_F30233,24,30233,0.2867565332797536,-1,4,2,0
L18_F149556,18,149556,0.2811406999826431,1,3,2,5
L22_F128994,22,128994,0.2765146092726634,-1,0,2,6
L24_F106340,24,106340,0.2755282988602465,1,1,1,7
L18_F27853,18,27853,0.27550529688596725,-1,3,2,8
L20_F89742,20,89742,0.27547775344415143,-1,3,2,9
L23_F6889,23,6889,0.2735163266198677,-1,0,2,0
L21_F54492,21,54492,0.2692802281677723,-1,4,1,4
