experiment_type,layer,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,10,20,20.0,0.99375,0.703125,0.9379713727255388,0.665625,0.53125,0.23843845189775928,5.7953125,6.4609375,0.0,0,False,True,graph,True
ablation_zero,11,20,20.0,0.49375,0.4375,0.3301900868000925,-0.28125,-0.28125,0.10786128821373572,5.7953125,5.5140625,0.0,0,False,True,graph,True
ablation_zero,12,20,20.0,1.159375,0.8125,0.9685059115244959,-0.728125,-0.6875,0.3507787467970863,5.7953125,5.0671875,0.1,2,False,True,graph,True
ablation_zero,13,20,20.0,0.6328125,0.5625,0.45623366499236817,-0.4734375,-0.421875,0.13194054433941751,5.7953125,5.321875,0.0,0,False,True,graph,True
ablation_zero,14,20,20.0,0.5375,0.421875,0.3254867306697852,0.034375,0.1875,0.13379992036237173,5.7953125,5.8296875,0.0,0,False,True,graph,True
ablation_zero,15,20,20.0,0.4484375,0.359375,0.38955775258449704,-0.0890625,-0.09375,0.09311295983069644,5.7953125,5.70625,0.0,0,False,True,graph,True
ablation_zero,16,20,20.0,0.3859375,0.390625,0.261313696276797,0.0109375,-0.0625,0.0728047830844659,5.7953125,5.80625,0.0,0,False,True,graph,True
ablation_zero,17,20,20.0,0.8453125,0.671875,0.9351656793648075,0.6578125,0.59375,0.2860519521461996,5.7953125,6.453125,0.0,0,False,True,graph,True
ablation_zero,18,20,20.0,0.5375,0.4375,0.4423602217531248,-0.06875,-0.125,0.14792081817689717,5.7953125,5.7265625,0.0,0,False,True,graph,True
ablation_zero,19,20,20.0,0.4328125,0.375,0.3834405093070261,0.1828125,0.09375,0.1261432330420588,5.7953125,5.978125,0.0,0,False,True,graph,True
ablation_zero,20,20,20.0,0.78125,0.75,0.48306007853442434,-0.34375,-0.40625,0.18246168953137626,5.7953125,5.4515625,0.0,0,False,True,graph,True
ablation_zero,21,20,20.0,0.4921875,0.3125,0.5496405636210191,0.2140625,0.171875,0.16765977283765035,5.7953125,6.009375,0.0,0,False,True,graph,True
ablation_zero,22,20,20.0,0.7828125,0.65625,0.6157602376170965,-0.6703125,-0.65625,0.19497626883362315,5.7953125,5.125,0.05,1,False,True,graph,True
ablation_zero,23,20,20.0,1.278125,1.15625,0.9785896722889152,-0.728125,-0.578125,0.31261739177720044,5.7953125,5.0671875,0.05,1,False,True,graph,True
ablation_zero,24,20,20.0,0.9828125,0.625,0.8872193658419546,-0.5765625,-0.078125,0.24957984963762075,5.7953125,5.21875,0.05,1,False,True,graph,True
ablation_zero,25,20,20.0,1.75,1.421875,1.3422382867512954,-1.36875,-1.40625,0.4479286463412386,5.7953125,4.4265625,0.1,2,False,True,graph,True
patching,10,20,20.0,1.0640625,0.75,0.8820483855440072,0.6890625,0.578125,0.25693093602114314,5.7953125,6.484375,0.0,0,False,True,graph,True
patching,11,20,20.0,0.5078125,0.578125,0.3445527409307532,-0.2921875,-0.25,0.11421606201549037,5.7953125,5.503125,0.0,0,False,True,graph,True
patching,12,20,20.0,1.209375,1.015625,1.017178720452854,-0.78125,-0.90625,0.3550384906956446,5.7953125,5.0140625,0.1,2,False,True,graph,True
patching,13,20,20.0,0.6546875,0.65625,0.4612308110043569,-0.5078125,-0.546875,0.13531542715742134,5.7953125,5.2875,0.0,0,False,True,graph,True
patching,14,20,20.0,0.5578125,0.46875,0.38504568145768175,0.0828125,0.125,0.14434844760753585,5.7953125,5.878125,0.0,0,False,True,graph,True
patching,15,20,20.0,0.4328125,0.359375,0.38704278523011404,-0.0640625,-0.015625,0.0932561528417138,5.7953125,5.73125,0.0,0,False,True,graph,True
patching,16,20,20.0,0.3890625,0.390625,0.2664171624366371,-0.0140625,-0.046875,0.07229792589320098,5.7953125,5.78125,0.0,0,False,True,graph,True
patching,17,20,20.0,0.8046875,0.625,0.8993827264581613,0.6578125,0.59375,0.2767357099474589,5.7953125,6.453125,0.0,0,False,True,graph,True
patching,18,20,20.0,0.525,0.375,0.5169416005904851,0.0125,-0.078125,0.1561922522662575,5.7953125,5.8078125,0.0,0,False,True,graph,True
patching,19,20,20.0,0.4609375,0.421875,0.4078126575418127,0.2921875,0.25,0.14058181422478938,5.7953125,6.0875,0.0,0,False,True,graph,True
patching,20,20,20.0,0.96328125,0.796875,0.6864764172970067,-0.53359375,-0.609375,0.2577930757882479,5.7953125,5.26171875,0.05,1,False,True,graph,True
patching,21,20,20.0,0.4375,0.3125,0.38474188203193277,-0.009375,-0.015625,0.1327544641700517,5.7953125,5.7859375,0.0,0,False,True,graph,True
patching,22,20,20.0,0.7265625,0.53125,0.641306601457032,-0.5671875,-0.390625,0.1754082491395812,5.7953125,5.228125,0.05,1,False,True,graph,True
patching,23,20,20.0,1.31875,0.9375,1.1142856013230134,-0.9125,-0.671875,0.3489663894862717,5.7953125,4.8828125,0.05,1,False,True,graph,True
patching,24,20,20.0,0.6703125,0.4375,0.6565612513766027,-0.1140625,-0.09375,0.16591827578909785,5.7953125,5.68125,0.0,0,False,True,graph,True
patching,25,20,20.0,1.65078125,1.359375,1.2471727380800934,-1.26640625,-1.3125,0.4192810114176739,5.7953125,4.52890625,0.1,2,False,True,graph,True
steering,10,20,20.0,1.259375,1.140625,0.6174794237995218,1.1875,1.140625,0.3165993094658991,5.7953125,6.9828125,0.0,0,False,True,graph,True
steering,11,20,20.0,2.4875,1.953125,2.014452305741008,-2.221875,-1.84375,0.6827994070668699,5.7953125,3.5734375,0.1,2,False,True,graph,True
steering,12,20,20.0,2.253125,2.53125,1.099767282500209,-2.178125,-2.53125,0.5517502422422813,5.7953125,3.6171875,0.1,2,False,True,graph,True
steering,13,20,20.0,0.9734375,0.859375,0.7998943058263517,-0.6234375,-0.4375,0.26629816137001117,5.7953125,5.171875,0.05,1,False,True,graph,True
steering,14,20,20.0,2.040625,1.90625,1.3847627397481261,-2.015625,-1.90625,0.5143966612283063,5.7953125,3.7796875,0.1,2,False,True,graph,True
steering,15,20,20.0,0.534375,0.53125,0.3114950947911498,-0.2875,-0.4375,0.11614282487092671,5.7953125,5.5078125,0.0,0,False,True,graph,True
steering,16,20,20.0,0.7890625,0.71875,0.525547470657479,-0.6390625,-0.6875,0.16602901948820067,5.7953125,5.15625,0.0,0,False,True,graph,True
steering,17,20,20.0,1.103125,1.046875,0.7023003204695119,-1.053125,-1.046875,0.2862628887600861,5.7953125,4.7421875,0.1,2,False,True,graph,True
steering,18,20,20.0,0.8421875,0.515625,0.8844923903863253,-0.5265625,-0.15625,0.26454441055715416,5.7953125,5.26875,0.1,2,False,True,graph,True
steering,19,20,20.0,1.1484375,0.890625,1.0219061841370918,1.0703125,0.890625,0.31504265477296534,5.7953125,6.865625,0.0,0,False,True,graph,True
steering,20,20,20.0,2.6234375,2.359375,2.040867288348587,-2.4703125,-2.359375,0.7450077086855457,5.7953125,3.325,0.2,4,False,True,graph,True
steering,21,20,20.0,0.446875,0.328125,0.4917180039359316,-0.00625,-0.03125,0.1327400242854742,5.7953125,5.7890625,0.0,0,False,True,graph,True
steering,22,20,20.0,0.7296875,0.5,0.6941421811118268,-0.3390625,0.125,0.16202597674086883,5.7953125,5.45625,0.0,0,False,True,graph,True
steering,23,20,20.0,2.4375,2.234375,1.511061190373385,-2.4375,-2.234375,0.5811429416526349,5.7953125,3.3578125,0.1,2,False,True,graph,True
steering,24,20,20.0,0.7578125,0.609375,0.7257507314344447,0.3671875,0.25,0.23326695557179383,5.7953125,6.1625,0.0,0,False,True,graph,True
steering,25,20,20.0,2.9125,2.390625,2.207814507904998,-2.8625,-2.390625,0.8264705652904171,5.7953125,2.9328125,0.2,4,False,True,graph,True
